path,dir,file,export_default,export_named,imports_count,imported_by_count,reachable_from_entry,is_test_or_story,is_config_like,is_orphan
/src/components/marketing/JourneyManagement.tsx,/src/components/marketing,JourneyManagement.tsx,False,JourneyManagement,11,1,True,False,False,False
/src/components/marketing/SegmentManagement.tsx,/src/components/marketing,SegmentManagement.tsx,False,SegmentManagement,16,1,True,False,False,False
/src/components/marketing/MarketingAnalytics.tsx,/src/components/marketing,MarketingAnalytics.tsx,False,MarketingAnalytics,5,1,True,False,False,False
/src/components/marketing/JourneyBuilder.tsx,/src/components/marketing,JourneyBuilder.tsx,False,JourneyBuilder,10,1,True,False,False,False
/src/components/marketing/MarketingTemplates.tsx,/src/components/marketing,MarketingTemplates.tsx,False,MarketingTemplates,11,1,True,False,False,False
/src/components/marketing/MarketingOverview.tsx,/src/components/marketing,MarketingOverview.tsx,False,MarketingOverview,8,1,True,False,False,False
/src/components/finance/OrdersPaymentsManagement.tsx,/src/components/finance,OrdersPaymentsManagement.tsx,False,OrdersPaymentsManagement,13,1,True,False,False,False
/src/components/finance/InvoicesQRManagement.tsx,/src/components/finance,InvoicesQRManagement.tsx,False,InvoicesQRManagement,11,1,True,False,False,False
/src/components/finance/PayoutsReconciliation.tsx,/src/components/finance,PayoutsReconciliation.tsx,False,PayoutsReconciliation,11,1,True,False,False,False
/src/components/finance/InstructorEarnings.tsx,/src/components/finance,InstructorEarnings.tsx,False,InstructorEarnings,11,1,True,False,False,False
/src/components/finance/FinanceReports.tsx,/src/components/finance,FinanceReports.tsx,False,FinanceReports,9,1,True,False,False,False
/src/components/finance/FinanceSettings.tsx,/src/components/finance,FinanceSettings.tsx,False,FinanceSettings,12,1,True,False,False,False
/src/components/finance/CashDrawerManagement.tsx,/src/components/finance,CashDrawerManagement.tsx,False,CashDrawerManagement,10,1,True,False,False,False
/src/components/finance/LiabilitiesManagement.tsx,/src/components/finance,LiabilitiesManagement.tsx,False,LiabilitiesManagement,11,1,True,False,False,False
/src/components/finance/AuditTrail.tsx,/src/components/finance,AuditTrail.tsx,False,AuditTrail,9,1,True,False,False,False
/src/components/finance/WalletManagement.tsx,/src/components/finance,WalletManagement.tsx,False,WalletManagement,13,2,True,False,False,False
/src/components/finance/SwissPaymentIntegration.tsx,/src/components/finance,SwissPaymentIntegration.tsx,False,SwissPaymentIntegration,13,2,True,False,False,False
/src/components/finance/FinanceOverview.tsx,/src/components/finance,FinanceOverview.tsx,False,FinanceOverview,9,1,True,False,False,False
/src/components/settings/LocationsSettings.tsx,/src/components/settings,LocationsSettings.tsx,False,LocationsSettings,9,2,True,False,False,False
/src/components/settings/SecuritySettings.tsx,/src/components/settings,SecuritySettings.tsx,False,SecuritySettings,10,5,True,False,False,False
/src/components/settings/CommunicationsSettings.tsx,/src/components/settings,CommunicationsSettings.tsx,False,CommunicationsSettings,10,2,True,False,False,False
/src/components/settings/SettingsOverview.tsx,/src/components/settings,SettingsOverview.tsx,False,SettingsOverview,13,3,True,False,False,False
/src/components/settings/LanguageSettings.tsx,/src/components/settings,LanguageSettings.tsx,False,LanguageSettings,9,1,True,False,False,False
/src/components/settings/DocumentsSettings.tsx,/src/components/settings,DocumentsSettings.tsx,False,DocumentsSettings,10,1,True,False,False,False
/src/components/settings/IntegrationsSettings.tsx,/src/components/settings,IntegrationsSettings.tsx,False,IntegrationsSettings,11,1,True,False,False,False
/src/components/settings/PrivacySettings.tsx,/src/components/settings,PrivacySettings.tsx,False,PrivacySettings,11,1,True,False,False,False
/src/components/settings/POSSettings.tsx,/src/components/settings,POSSettings.tsx,False,POSSettings,9,1,True,False,False,False
/src/components/settings/SettingsProvider.tsx,/src/components/settings,SettingsProvider.tsx,False,"SettingsProvider,useSettings,validateSettings",0,0,False,False,False,True
/src/components/settings/SettingsManagement.tsx,/src/components/settings,SettingsManagement.tsx,False,SettingsManagement,23,2,True,False,False,False
/src/components/settings/GeneralSettings.tsx,/src/components/settings,GeneralSettings.tsx,False,GeneralSettings,11,1,True,False,False,False
/src/components/settings/ApiKeysManagement.tsx,/src/components/settings,ApiKeysManagement.tsx,False,ApiKeysManagement,11,1,True,False,False,False
/src/components/settings/SupabaseIntegrationStatus.tsx,/src/components/settings,SupabaseIntegrationStatus.tsx,False,SupabaseIntegrationStatus,7,1,True,False,False,False
